name,Reference,inchi,Organism,DetectedBy,TypeOfExperiment,TypeOfDetection,Comments,,,
arsenate,10.1021/sb500286r,InChI=1S/As,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenate,10.1021/sb500286r,InChI=1S/As,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenate,10.1021/sb500286r,InChI=1S/As,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenate,10.1021/sb500286r,InChI=1S/As,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenic,10.1021/sb500286r,InChI=1S/As,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenic,10.1021/sb500286r,InChI=1S/As,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenic,10.1021/sb500286r,InChI=1S/As,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenic,10.1021/sb500286r,InChI=1S/As,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenic,10.1021/sb500286r,InChI=1S/As,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenic,10.1093/nar/gku1388,InChI=1S/As,Escherichia coli,arsR,in vivo,direct,,,,
arsenite,10.1021/acssynbio.5b00111,InChI=1S/AsO3/c2-1(3)4/q-3,Escherichia coli,transcription factor,in vivo,direct,"Here, we demonstrate how placement of auxiliary transcription factor binding sites within a regulatable promoter context can yield an important gain in signal-to-noise output ratios from prokaryotic biosensor circuits. As a proof of principle, we use the arsenite-responsive ArsR repressor protein from Escherichia coli and its cognate operator.",,,
arsenite,10.1021/sb500286r,InChI=1S/AsO3/c2-1(3)4/q-3,Escherichia coli,transcription factor,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenite,10.1021/sb500286r,InChI=1S/AsO3/c2-1(3)4/q-3,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenite,10.1021/sb500286r,InChI=1S/AsO3/c2-1(3)4/q-3,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenite,10.1021/sb500286r,InChI=1S/AsO3/c2-1(3)4/q-3,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenite,10.1021/sb500286r,InChI=1S/AsO3/c2-1(3)4/q-3,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsenite,10.1021/sb500286r,InChI=1S/AsO3/c2-1(3)4/q-3,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arsentate,10.1021/sb500286r,InChI=1S/As,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
autoinducer/QS AI-2,10.1021/acssynbio.5b00261,"InChI=1S/C5H10BO7/c1-4-5(8,3(7)2-11-4)13-6(9,10)12-4/h3,7-10H,2H2,1H3/q-1/t3-,4+,5+/m0/s1",Escherichia coli,,in vivo (in Escherichia coli),Fuzzy,"Escherichia coli native QS system. The process diagram of the native feedback system in which an input is fed to a process and results in QS activation and the production of an output. The activation of QS initiates the native feedback loop. The process diagram, the autonomous protein production system previously developed, where LuxS generates the input AI-2 that is processed by importer LsrACDB and kinase LsrK into intracellular AI-2P. AI-2P causes the expression of the lsr operon, thereby initiating the native feedback loop to produce more LsrACDB and LsrK.",,,
butyraldehyde,10.1021/sb300091d,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",Escherichia coli,BmoR,in vivo,direct,"For this reason, only data up to the toxicity limit for each inducer were collected; data were fit with the Hill equation to mathematically describe biosensor transfer functions, or dose???response curves, and derive biosensor performance features (Table 2).",,,
cadmium,10.1021/sb500286r,InChI=1S/Cd,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
cadmium,10.1021/sb500286r,InChI=1S/Cd,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
CAI-1,10.1021/acssynbio.6b00079,"InChI=1S/C13H26O2/c1-3-5-6-7-8-9-10-11-13(15)12(14)4-2/h12,14H,3-11H2,1-2H3/t12-/m0/s1",Escherichia coli,transcription factor,in vivo,indirect,"There are two well established pathways, both using a two component sensor proteins, namely CqsS and LuxPQ which sense CAI-1 and AI-2 molecules, respectively",,,
"Chloro-1,4-benzoquinone",10.1021/acssynbio.5b00225,InChI=1S/C6H3ClO2/c7-5-3-4(8)1-2-6(5)9/h1-3H,Escherichia coli,LinR,in vivo,indirect,Fig.4,,,
chlorohydroquinone,10.1021/acssynbio.5b00225,"InChI=1S/C6H5ClO2/c7-5-3-4(8)1-2-6(5)9/h1-3,8-9H",Escherichia coli,LinR,in vivo,direct,Fig.4,,,
choline,10.1021/acssynbio.5b00230,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",Escherichia coli,transcription factor,in vivo,direct,"the choline- inducible transcription factor BetI, yielding various choline- inducible and choline-repressive promoter systems",,,
choline,10.1021/acssynbio.5b00230,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",Escherichia coli,transcription factor,in vivo,direct,"the choline- inducible transcription factor BetI, yielding various choline- inducible and choline-repressive promoter systems",,,
chromate,10.1021/sb500286r,InChI=1S/Cr.4O,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
chromated copper arsenate,10.1021/sb500286r,InChI=1S/As2O5.Cr.Cu.4O/c3-1(4)7-2(5)6,,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
cocaine,10.1021/acssynbio.5b00225,"InChI=1S/C17H21NO4/c1-18-12-8-9-13(18)15(17(20)21-2)14(10-12)22-16(19)11-6-4-3-5-7-11/h3-7,12-15H,8-10H2,1-2H3/t12-,13+,14-,15+/m0/s1",Escherichia coli,BenR,in vivo,indirect,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
copper,10.1021/sb500286r,InChI=1S/Cu,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
copper (Cu II),10.1021/sb500286r,InChI=1S/Cu,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
d-xylose,10.1021/sb400162z,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3+,4-,5?/m1/s1",Escherichia coli,,in vivo,,"Similar to the l-arabinose utilization pathway, the d-xylose utilization pathway encodes a high-affinity transporter and a low-affinity transporter, a transcriptional activator that recognizes d-xylose, and enzymes that shunt d-xylose into the pentose phosphate pathway (Figure S1B).",,,
doxycycline,10.1021/sb500363y,"InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25-27,30,32H,1-3H3,(H2,23,31)/t7-,10+,14+,15-,17-,22-/m0/s1",Escherichia coli,transcription factor,in vivo,direct,"In the presence of tetracycline, or its more stable derivative doxycycline (Dox), TetR changes conformation and disassociates from the tetO site.",,,
ethanol,10.1021/sb400156v,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",Escherichia coli,transcription factor,in vivo,,"For example, transcriptional upregulation of HSP genes has been identified in tolerance enrichment studies for ethanol, n-butanol, or isobutanol stress in Escherichia coli.",,,
fenitrothion,10.1021/acssynbio.6b00061,"InChI=1S/C9H12NO5PS/c1-7-6-8(4-5-9(7)10(11)12)15-16(17,13-2)14-3/h4-6H,1-3H3",Escherichia coli,transcription factor,in vivo,,The hydrolysis of fenitrothion produces 2-methyl-4-nitrophenol instead of 4-nitropheno,,,
Heme,10.1021/acssynbio.6b00105,"InChI=1S/C34H34N4O4.Fe/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25;/h7-8,13-16H,1-2,9-12H2,3-6H3,(H4,35,36,37,38,39,40,41,42);",Escherichia coli,transcription factor,in vivo,,"Heme, a downstream metabolite of ALA, is a feedback repressor of ALA synthase",,,
hippuric acid,10.1021/acssynbio.5b00225,"InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)",Escherichia coli,BenR,in vivo,indirect,Fig.4,,,
IPTG,10.1021/acssynbio.6b00194,"InChI=1S/C9H18O5S/c1-4(2)15-9-8(13)7(12)6(11)5(3-10)14-9/h4-13H,3H2,1-2H3/t5-,6+,7+,8-,9+/m1/s1",Escherichia coli,transcription factor,in vivo,direct,expression was controlled by the lac promoter to trigger metabolic channeling by the addition of isopropyl-??-D-thiogalactopyranoside (IPTG),,,
IPTG,10.1021/sb300016b,"InChI=1S/C9H18O5S/c1-4(2)15-9-8(13)7(12)6(11)5(3-10)14-9/h4-13H,3H2,1-2H3/t5-,6+,7+,8-,9+/m1/s1",Escherichia coli,transcription factor,in vivo,direct,The dose response of promoter activity to inducer IPTG using,,,
isobutanol,10.1021/sb400156v,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",Escherichia coli,transcription factor,in vivo,,"For example, transcriptional upregulation of HSP genes has been identified in tolerance enrichment studies for ethanol, n-butanol, or isobutanol stress in Escherichia coli.",,,
IPTG,10.1021/sb4000965,"InChI=1S/C9H18O5S/c1-4(2)15-9-8(13)7(12)6(11)5(3-10)14-9/h4-13H,3H2,1-2H3/t5-,6+,7+,8-,9+/m1/s1",Escherichia coli,LacI,,,"The engineered promoters, LEE and TTE, contain binding sites for the QS-dependent repressor, EsaR, and either LacI or TetR, and they are induced by an acyl-homoserine lactone (AHL) signal and IPTG or aTc.",,,
l-arabinose,10.1021/sb400162z,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",Escherichia coli,AraC,in vivo,,"Similar to the l-arabinose utilization pathway, the d-xylose utilization pathway encodes a high-affinity transporter and a low-affinity transporter, a transcriptional activator that recognizes d-xylose, and enzymes that shunt d-xylose into the pentose phosphate pathway (Figure S1B).",,,
l-lyxose,10.1021/acssynbio.6b00030,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4-,5-/m0/s1",Escherichia coli,RhaS,in vivo,direct,"The panel of 35 analogues of l-rhamnose studied here induced expression of the rhaBAD promoter to a wide range of levels. [...] These promising compounds were l-mannose, l-lyxose, l-olivose, 2-deoxy-2-fluoro-l-rhamnose and 6-deoxy-l-altrose.",,,
l-Mannose,10.1021/acssynbio.6b00030,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2/t3-,4-,5-,6-/m0/s1",Escherichia coli,RhaS,in vivo,direct,"l-Mannose was found to be the most useful orthogonal inducer, providing an even greater range of induction than the native inducer l-rhamnose, and crucially, allowing sustained induction instead of transient induction.",,,
l-olivose,10.1021/acssynbio.6b00030,,Escherichia coli,RhaS,in vivo,direct,"The panel of 35 analogues of l-rhamnose studied here induced expression of the rhaBAD promoter to a wide range of levels. [...] These promising compounds were l-mannose, l-lyxose, l-olivose, 2-deoxy-2-fluoro-l-rhamnose and 6-deoxy-l-altrose.",,,
l-rhamnose,10.1021/acssynbio.6b00030,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1",Escherichia coli,RhaS,in vivo,direct,"The Escherichia coli rhamnose-inducible rhaBAD promoter has properties superior to more commonly used inducible expression systems, but is marred by transient expression caused by degradation of the native inducer, l-rhamnose.",,,
lysine,10.1021/sb500332c,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",Escherichia coli,Riboswitch,in vivo,direct,we demonstrate the use of lysine riboswitch and intracellular L-lysine as a signal to control the,,,
malonyl-CoA,10.1021/sb400158w,"InChI=1S/C24H38N7O19P3S/c1-24(2,19(37)22(38)27-4-3-13(32)26-5-6-54-15(35)7-14(33)34)9-47-53(44,45)50-52(42,43)46-8-12-18(49-51(39,40)41)17(36)23(48-12)31-11-30-16-20(25)28-10-29-21(16)31/h10-12,17-19,23,36-37H,3-9H2,1-2H3,(H,26,32)(H,27,38)(H,33,34)(H,42,43)(H,44,45)(H2,25,28,29)(H2,39,40,41)",Escherichia coli,FapR,,,We have devised a malonyl-CoA sensor???actuator that controls gene expression levels based on intracellular malonyl-CoA concentrations.,,,
mercury,10.1021/sb500286r,InChI=1S/Hg,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
methyl-parathion,10.1021/acssynbio.6b00061,"InChI=1S/C8H10NO5PS/c1-12-15(16,13-2)14-8-5-3-7(4-6-8)9(10)11/h3-6H,1-2H3",Escherichia coli,transcription factor,in vivo,,colorimetric difference was observed for E135K subjected to 100 ??M parathion and methyl-parathion,,,
Methylating chemicals (R-CH3),10.1021/sb400086p,,Escherichia coli,Escherichia coli Ada protein,in vivo,,"Methylating chemicals are common in industry and agriculture and are often toxic, partly due to their propensity to methylate DNA. The Escherichia coli Ada protein detects methylating compounds by sensing aberrant methyl adducts on the phosphoester backbone of DNA. We characterize this system as a genetic sensor and engineer it to lower the detection threshold. By overexpressing Ada from a plasmid, we improve the sensor???s dynamic range to 350-fold induction and lower its detection threshold to 40 ??M for methyl iodide",,,
Mg2+,10.1021/sb300107h,InChI=1S/Mg/q+2,Escherichia coli,transcription factor,in vivo,indirect,"PhoPQ responsive promoters, likely responding to low Mg2+ in the vacuole",,,
N-Acyl homoserine lactone,10.1021/sb400077j,"InChI=1S/C5H7NO3/c7-3-6-4-1-2-9-5(4)8/h3-4H,1-2H2,(H,6,7)/t4-/m0/s1",Escherichia coli,LasR,,,"The QS device detects the presence of N-Acyl homoserine lactone (AHL), a quorum sensing molecule produced and secreted by P. aeruginosa.",,,
n-butanol,10.1021/sb400156v,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",Escherichia coli,transcription factor,in vivo,,"For example, transcriptional upregulation of HSP genes has been identified in tolerance enrichment studies for ethanol, n-butanol, or isobutanol stress in Escherichia coli.",,,
NADPH,10.1021/sb400110j,"InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",Escherichia coli,SoxR,in vivo,indirect,"Under suitable conditions, the specific fluorescence of the cells correlated with the substrate concentration added and with LbAdh enzyme activity, supporting the NADPH responsiveness of the sensor.",,,
Nitric Oxide,10.1021/sb3000595,InChI=1S/NO/c1-2,Escherichia coli,transcription factor,in vivo,direct,"Engineered strain of Escherichia coli capable of sensing and responding to the presence of a mammalian in???ammatory signal. The synthetic gene regulatory circuit is designed to permanently alter gene expression in response to the well characterized in???ammatory signal nitric oxide. The detection of nitric oxide initiates the expression of a DNA recombinase, causing the permanent activation of a DNA switch",,,
nitrite,10.1021/acssynbio.5b00225,"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1",Escherichia coli,,in vivo,direct,Fig.4,,,
nitroglycerin,10.1021/acssynbio.5b00225,"InChI=1S/C3H5N3O9/c7-4(8)13-1-3(15-6(11)12)2-14-5(9)10/h3H,1-2H2",Escherichia coli,,in vivo,indirect,Fig.4,,,
Parathion,10.1021/acssynbio.5b00225,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",Escherichia coli,DmpR,in vivo,indirect,Fig.4,,,
parathion,10.1021/acssynbio.6b00061,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",Escherichia coli,transcription factor,in vivo,,a parathion concentration as low as 10 ??M can be detected through visualization of red color,,,
phenol,10.1021/acssynbio.5b00287,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",Escherichia coli,transcription factor,in vivo,indirect,This technique combines a genetic circuit that expresses a fluorescent reporter through a transcriptional regulator induced by phenol with,,,
phenol,10.1021/sb400112u,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",Escherichia coli,DmpR,in vivo,direct,"Note that mutant DmpR(E135K) recognizes both 4-nitrophenol and phenol, whose details will be discussed in later sections.",,,
phospho-AI-2,10.1021/sb400068z,,Escherichia coli,LsrR,in vivo,direct,"It is this phosphorylated form of AI-2 that binds to the repressor, LsrR, causing it to become destabilized and derepress the lsr operon expression.",,,
Phospho-NRI,10.1021/sb5002533,,Escherichia coli,transcription factor,in vivo,,"Phospho-NRI (NRI*) is detected using a reporter gene (superfolder green fluorescent protein; sf-gfp), which has an upstream PglnA2 enhancer-promoter DNA sequence",,,
pimelate,10.1021/sb300091d,"InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)",Escherichia coli,PcaR,in vivo,direct,"The biosensors were highly responsive to their cognate ligand, and in the case of the PcaR-based biosensor, a strong response was also observed for pimelate.",,,
S-adenosylmethionine,10.1021/sb300115n,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)",Escherichia coli,transcription factor,in vivo,direct,"met operator and MetJ repressor of Escherichia coli, the interaction between which depends on S-adenosylmethionine (SAM)",,,
salicylate,10.1021/sb3000832,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",Escherichia coli,transcription factor,in vivo,direct,Genetic Circuit Performance under Conditions Relevant for Industrial Bioreactors,,,
succinate,10.1021/sb300091d,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",Escherichia coli,DcuR/DcuS,in vivo,direct,"In the case of succinate, wild type Escherichia coli possesses a C4-dicarboxylate responsive signal transduction pathway mediated by the DcuR/DcuS two-component system; we chose the previously characterized(51) DcuR/DcuS-regulated dctA promoter (PdctA) for our biosensor design.",,,
tetracycline,10.1021/sb200029a,"InChI=1S/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25-26,29,31-32H,7H2,1-3H3,(H2,23,30)/t9-,10-,15-,21+,22-/m0/s1",Escherichia coli,transcription factor,in vivo,direct,we have engineered a tetracycline-regulated expression system with an improved range of control and lower background expression,,,
tetracycline,10.1021/sb500363y,"InChI=1S/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25-26,29,31-32H,7H2,1-3H3,(H2,23,30)/t9-,10-,15-,21+,22-/m0/s1",Escherichia coli,transcription factor,in vivo,direct,"In the presence of tetracycline, or its more stable derivative doxycycline (Dox), TetR changes conformation and disassociates from the tetO site.",,,
vanillin,10.1021/acssynbio.5b00090,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",Escherichia coli,transcription factor,in vivo,direct,wo qacR mutants that respond to vanillin both in vitro and in vivo, Engineering Transcriptional Regulator Effector,,
VirF,10.1021/acssynbio.5b00002,,Escherichia coli,transcription factor,in vivo,direct,"VirB transcriptional activator, VirF.",,,
zinc,10.1021/sb500286r,InChI=1S/Zn,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
